LINK,CONTENT,REACTIONS,COMMENTS,SHARES
https://www.facebook.com/permalink.php?story_fbid=pfbid02sSKEQDhuir19DXixnBJv6XAGfHMfyK89YA5t1GvtWUBo3nUC9USdagW3E9pK2oKGl&id=61553573245040,The Lakewood Church shooter: ,162,31,94
https://www.facebook.com/glennconley/posts/pfbid037degoNHvYAty73cc4SKdYhYaAcKPXmK1mgkrDbWJfMbHrWYJbia41TECnHjKxmsWl,Lakewood Trans Shooter Alert!!,21,34,19
https://www.facebook.com/secureamericanow/posts/pfbid02KVnTKbn1dRUHqEwNQSPTjGoUQj8YrTQXU99MywNrTnZBvBRRW9YumDKHAixJCAPWl,"Turns out the Shooter at the Lakewood Church is identified as a transgender by the name Genesse Moreno, but also identified as ""Jeffery Escalate.""",178,80,93
https://www.facebook.com/mediaresearchcenter/posts/pfbid08tAhvPEbqgPrxvXZ126cUomTGXP26azJEvpb4tD54DMV84V4T3PriEtZvYfNjkjBl,"ABC, CBS, and NBC are refusing to acknowledge that the Lakewood shooter identified as transgender. ",104,36,47
https://www.facebook.com/pamelageller/posts/pfbid034FjA3nJF3PmJPdcCA3hFD4scW17n62honhRbZBU1WDkVHMvVVJopTYWQcpNqhyXml,"TRANS-TERROR: Lakewood Church Shooter Identified As Transgender Immigrant,  ‘ Free Palestine’ Written on Rifle",52,24,31
https://www.facebook.com/TheDallasExpress/posts/pfbid02mzUnmLeniPswJGgve8pQ52TbvM5voQm1Ez3eSqvTGeYZxXb5G2tZSg9TqXrSw7q6l,Lakewood Church shooter identified as 36-year-old transgender woman Genesse Ivonne Moreno. Moreno previously identified as “Jeffrey Escalante” prior to attacking Joel Osteen’s Houston church. ,12,8,3
https://www.facebook.com/ChristianPost.Intl/posts/pfbid021JABhNsNAmbe8mYBPRHe9RCtQLkk5bB4TAZH5uQsTJyQmAUXD511T5bTYKh9YVPLl,"Despite reportedly using multiple aliases, including the male name Jeffrey Escalante, Genesse Ivonne Moreno, a mentally troubled individual who was shot dead by off-duty police officers after opening fire at Joel Osteen's Lakewood Church on Sunday, has consistently identified as female, a Houston Police Department officer said Monday.  #GenesseIvonneMoreno #LakewoodChurch #JoelOsteen #Shooter #Shooting",36,106,18
https://www.facebook.com/corpuschristicronica/posts/pfbid031mgN8ToWXJu73vb4oFAhJoLQR4FgC4EURAKnfxFr7FTHBvdFvZWQHreVvn9TenzNl,"#BREAKING: Lakewood megachurch shooter from this weekend has been identified and considered themselves as transgender Jeffrey Escalante, was born as Genessa Ivonne Moreno. According to reports ""Free Palestine"" was written on the rifle that was used by the individual.",95,84,43
